pipeline_name,run_id,decode_s,preprocess_s,inference_s,postprocess_s,total_s,frames_processed,fps,error
OpenCV CPU,0,1.707208039239049,2.3073525838553905,2.8290197607129812,0.010242247954010963,6.854266228154302,1024,149.3960062119939,
OpenCV CPU,1,1.707208039239049,2.2876350209116936,2.836259037256241,0.010258819907903671,6.841814536601305,1024,149.6678979709198,
OpenCV CPU,2,1.707208039239049,2.307434828951955,2.844969356432557,0.010257627815008163,6.87031720392406,1024,149.04697550429415,
OpenCV CPU,3,1.707208039239049,2.280398678034544,2.8387447725981474,0.01025829091668129,6.837056124582887,1024,149.7720629085039,
OpenCV CPU,4,1.707208039239049,2.2929665502160788,2.831279644742608,0.010252753272652626,6.842145215719938,1024,149.660664559902,
OpenCV CPU,5,1.707208039239049,2.392588932067156,2.8370050694793463,0.010281449183821678,6.947534905746579,1024,147.39040737355768,
OpenCV CPU,6,1.707208039239049,2.3254543468356133,2.842693354934454,0.01029597595334053,6.886105204001069,1024,148.7052505972491,
OpenCV CPU,7,1.707208039239049,2.3283376544713974,2.8982126098126173,0.010248333215713501,6.94444521702826,1024,147.45598359521668,
OpenCV CPU,8,1.707208039239049,2.310035889968276,2.8666471410542727,0.010318994522094727,6.894651524722576,1024,148.52092180847433,
OpenCV CPU,9,1.707208039239049,2.334362229332328,2.838018434122205,0.01022065244615078,6.890249574556947,1024,148.6158068615163,
FFmpeg + DALI,0,1.6078264713287354,0.1051794234663248,0.8580119349062443,0.009945988655090332,2.581323005259037,1024,396.69580208046887,
FFmpeg + DALI,1,1.6078264713287354,0.10520974174141884,0.8573428280651569,0.009965531527996063,2.580685658380389,1024,396.79377326514515,
FFmpeg + DALI,2,1.6078264713287354,0.10523809865117073,0.8579627424478531,0.009984839707612991,2.5813591331243515,1024,396.690250054668,
FFmpeg + DALI,3,1.6078264713287354,0.10520132817327976,0.8578577544540167,0.009943243116140366,2.5811754781752825,1024,396.7184752289291,
FFmpeg + DALI,4,1.6078264713287354,0.10522514581680298,0.8577207922935486,0.009943870827555656,2.581072699278593,1024,396.7342726480377,
FFmpeg + DALI,5,1.6078264713287354,0.10522082820534706,0.8575873151421547,0.00995674915611744,2.5809509102255106,1024,396.7529936129347,
FFmpeg + DALI,6,1.6078264713287354,0.1052215676754713,0.8579016607254744,0.009957632049918175,2.5812554825097322,1024,396.7061791978738,
FFmpeg + DALI,7,1.6078264713287354,0.10521292313933372,0.8579006101936102,0.00994390994310379,2.581232789903879,1024,396.7096667938005,
FFmpeg + DALI,8,1.6078264713287354,0.10520125739276409,0.8578368630260229,0.009961249306797981,2.581186780706048,1024,396.716738073445,
FFmpeg + DALI,9,1.6078264713287354,0.10520276427268982,0.8579094037413597,0.009959746152162552,2.5812462363392115,1024,396.70760022192326,
PyNvVideoCodec 2.1,0,1.4685816038399935,0.10511799529194832,0.8524826765060425,0.00993395410478115,2.4364578649401665,1024,420.28225266483196,
PyNvVideoCodec 2.1,1,1.4685816038399935,0.10506455786526203,0.8519392684102058,0.009934576228260994,2.4358615688979626,1024,420.3851372651198,
PyNvVideoCodec 2.1,2,1.4685816038399935,0.1050866600126028,0.8515000026673079,0.009939096868038177,2.435453338548541,1024,420.455602163281,
PyNvVideoCodec 2.1,3,1.4685816038399935,0.1050830576568842,0.8526499290019274,0.00992736779153347,2.4365812446922064,1024,420.2609710760347,
PyNvVideoCodec 2.1,4,1.4685816038399935,0.10513118654489517,0.8516034074127674,0.009934114292263985,2.4355917684733868,1024,420.4317050397311,
PyNvVideoCodec 2.1,5,1.4685816038399935,0.10508723743259907,0.8517068233340979,0.009942203760147095,2.435662727802992,1024,420.41945640136515,
PyNvVideoCodec 2.1,6,1.4685816038399935,0.10511999577283859,0.851547297090292,0.009940829128026962,2.4355281833559275,1024,420.44268138545,
