pipeline_name,run_id,decode_s,preprocess_s,inference_s,postprocess_s,total_s,frames_processed,fps,error
PyNvVideoCodec 2.1,0,1.6071156254038215,0.10548836272209883,0.9624864645302296,0.010838506743311882,2.6872613774612546,1024,381.05708978983165,
PyNvVideoCodec 2.1,1,1.6071156254038215,0.10546600446105003,0.9654472274705768,0.010777206160128117,2.690131009556353,1024,380.65060636912045,
PyNvVideoCodec 2.1,2,1.6071156254038215,0.10551245789974928,0.9599902769550681,0.010808547958731651,2.6847404362633824,1024,381.41489812892365,
PyNvVideoCodec 2.1,3,1.6071156254038215,0.10547120589762926,0.9720310941338539,0.010780095122754574,2.696715336292982,1024,379.72120609794626,
PyNvVideoCodec 2.1,4,1.6071156254038215,0.1055239737033844,0.9836713578552008,0.010911021381616592,2.7085635205730796,1024,378.06017552187274,
PyNvVideoCodec + CV-CUDA,0,1.5764983016997576,0.08415010198950768,0.7710777577012777,0.009689047001302242,2.4427413139492273,1024,419.20116311640027,
PyNvVideoCodec + CV-CUDA,1,1.5764983016997576,0.08414491545408964,0.771139063872397,0.009704837575554848,2.4428406469523907,1024,419.1841171782979,
PyNvVideoCodec + CV-CUDA,2,1.5764983016997576,0.08413953054696321,0.7711817240342498,0.00969803798943758,2.4428408686071634,1024,419.18407914300815,
PyNvVideoCodec + CV-CUDA,3,1.5764983016997576,0.08414112217724323,0.7714760899543762,0.009731720201671124,2.443178146146238,1024,419.12621133060344,
PyNvVideoCodec + CV-CUDA,4,1.5764983016997576,0.08415526896715164,0.7717612320557237,0.009712005965411663,2.4434541445225477,1024,419.0788692701619,
