pipeline_name,run_id,decode_s,preprocess_s,inference_s,postprocess_s,total_s,frames_processed,fps,error
OpenCV CPU,0,1.7518661953508854,2.461595732718706,3.0453771017491817,0.012395031750202179,7.2744186613708735,1024,140.76726232952694,
OpenCV CPU,1,1.7518661953508854,2.470933500677347,3.050410121679306,0.012345710769295692,7.288724534213543,1024,140.49097276118835,
OpenCV CPU,2,1.7518661953508854,2.468974258750677,3.0521726608276367,0.012494876980781555,7.288686731830239,1024,140.49170141009293,
OpenCV CPU,3,1.7518661953508854,2.474916910752654,3.0630539543926716,0.01235983707010746,7.305356869474053,1024,140.1711125542485,
OpenCV CPU,4,1.7518661953508854,2.499214954674244,3.1124379206448793,0.012497037649154663,7.379201482981443,1024,138.7684022941558,
OpenCV CPU,5,1.7518661953508854,2.464801723137498,3.0564507115632296,0.01234426535665989,7.288572581484914,1024,140.49390172792636,
OpenCV CPU,6,1.7518661953508854,2.4759317990392447,3.0711629260331392,0.012538306415081024,7.314726777374744,1024,139.99155828586035,
OpenCV CPU,7,1.7518661953508854,2.473240341991186,3.064358724281192,0.012452827766537666,7.305091872811317,1024,140.17619734684052,
OpenCV CPU,8,1.7518661953508854,2.4528791904449463,3.067801544442773,0.012462260201573372,7.2881431709975,1024,140.50217949544603,
OpenCV CPU,9,1.7518661953508854,2.4665936809033155,3.0647368375211954,0.012409830465912819,7.298736682161689,1024,140.29825223078453,
FFmpeg + DALI,0,1.6438041720539331,0.1071837842464447,0.9104287717491388,0.011681728065013885,2.6756342500448227,1024,382.7129959869686,
FFmpeg + DALI,1,1.6438041720539331,0.10715164244174957,0.9098710976541042,0.011725431308150291,2.6750541757792234,1024,382.79598569315567,
FFmpeg + DALI,2,1.6438041720539331,0.10719223693013191,0.9100116044282913,0.01169491745531559,2.6752234008163214,1024,382.7717713920771,
FFmpeg + DALI,3,1.6438041720539331,0.10718506388366222,0.909762704744935,0.01168142445385456,2.6749488189816475,1024,382.8110626766446,
FFmpeg + DALI,4,1.6438041720539331,0.10720589198172092,0.909771466627717,0.011757036671042442,2.675049876794219,1024,382.7966008720413,
FFmpeg + DALI,5,1.6438041720539331,0.1071508601307869,0.9098883140832186,0.011707799509167671,2.675080267712474,1024,382.79225201554317,
FFmpeg + DALI,6,1.6438041720539331,0.10719041898846626,0.9095536321401596,0.011700266972184181,2.6747728995978832,1024,382.83624009871824,
FFmpeg + DALI,7,1.6438041720539331,0.10720122419297695,0.9096692688763142,0.011713335290551186,2.6749044060707092,1024,382.81741869953436,
FFmpeg + DALI,8,1.6438041720539331,0.10719789750874043,0.9116729535162449,0.011691397055983543,2.6768840681761503,1024,382.534310011298,
FFmpeg + DALI,9,1.6438041720539331,0.1072093304246664,0.9095868095755577,0.01167304813861847,2.6747814286500216,1024,382.8350193521491,
PyNvVideoCodec 2.1,0,1.4969757329672575,0.10724848136305809,0.9089404586702585,0.011716088280081749,2.5274336095899343,1024,405.1540646269002,
PyNvVideoCodec 2.1,1,1.4969757329672575,0.10726373642683029,0.9097204562276602,0.011672275140881538,2.528184175491333,1024,405.0337827152144,
PyNvVideoCodec 2.1,2,1.4969757329672575,0.10725077986717224,0.9090866055339575,0.011684877797961235,2.5275414623320103,1024,405.13677629454867,
PyNvVideoCodec 2.1,3,1.4969757329672575,0.10720226727426052,0.9090277515351772,0.011688292026519775,2.527452679350972,1024,405.15100771855174,
PyNvVideoCodec 2.1,4,1.4969757329672575,0.10723665915429592,0.909198833629489,0.011668834835290909,2.5276160910725594,1024,405.12481449090615,
